--- scanner 0 ---
404,-588,-901
528,-643,409
-838,591,734
390,-675,-793
-537,-823,-458
-485,-357,347
-345,-311,381
-661,-816,-575
-876,649,763
-618,-824,-621
553,345,-567
474,580,667
-447,-329,318
-584,868,-557
544,-627,-890
564,392,-477
455,729,728
-892,524,684
-689,845,-530
423,-701,434
7,-33,-71
630,319,-379
443,580,662
-789,900,-551
459,-707,401

--- scanner 1 ---
686,422,578
605,423,415
515,917,-361
-336,658,858
95,138,22
-476,619,847
-340,-569,-846
567,-361,727
-460,603,-452
669,-402,600
729,430,532
-500,-761,534
-322,571,750
-466,-666,-811
-429,-592,574
-355,545,-477
703,-491,-529
-328,-685,520
413,935,-424
-391,539,-444
586,-435,557
-364,-763,-893
807,-499,-711
755,-354,-619
553,889,-390

--- scanner 2 ---
649,640,665
682,-795,504
-784,533,-524
-644,584,-595
-588,-843,648
-30,6,44
-674,560,763
500,723,-460
609,671,-379
-555,-800,653
-675,-892,-343
697,-426,-610
578,704,681
493,664,-388
-671,-858,530
-667,343,800
571,-461,-707
-138,-166,112
-889,563,-600
646,-828,498
640,759,510
-630,509,768
-681,-892,-333
673,-379,-804
-742,-814,-386
577,-820,562

--- scanner 3 ---
-589,542,597
605,-692,669
-500,565,-823
-660,373,557
-458,-679,-417
-488,449,543
-626,468,-788
338,-750,-386
528,-832,-391
562,-778,733
-938,-730,414
543,643,-506
-524,371,-870
407,773,750
-104,29,83
378,-903,-323
-778,-728,485
426,699,580
-438,-605,-362
-469,-447,-387
509,732,623
647,635,-688
-868,-804,481
614,-800,639
595,780,-596

--- scanner 4 ---
727,592,562
-293,-554,779
441,611,-461
-714,465,-776
-743,427,-804
-660,-479,-426
832,-632,460
927,-485,-438
408,393,-506
466,436,-512
110,16,151
-258,-428,682
-393,719,612
-211,-452,876
808,-476,-593
-575,615,604
-485,667,467
-680,325,-822
-627,-443,-432
872,-547,-609
833,512,582
807,604,487
839,-516,451
891,-625,532
-652,-548,-490
30,-46,-14

--- scanner 5 ---
592,727,562
-554,-293,779
611,441,-461
465,-714,-776
427,-743,-804
-479,-660,-426
-632,832,460
-485,927,-438
393,408,-506
436,466,-512
16,110,151
-428,-258,682
719,-393,612
-452,-211,876
-476,808,-593
615,-575,604
667,-485,467
325,-680,-822
-443,-627,-432
-547,872,-609
512,833,582
604,807,487
-516,839,451
-625,891,532
-548,-652,-490
-46,30,-14

--- scanner 6 ---
562,727,592
779,-293,-554
-461,441,611
-776,-714,465
-804,-743,427
-426,-660,-479
460,832,-632
-438,927,-485
-506,408,393
-512,466,436
151,110,16
682,-258,-428
612,-393,719
876,-211,-452
-593,808,-476
604,-575,615
467,-485,667
-822,-680,325
-432,-627,-443
-609,872,-547
582,833,512
487,807,604
451,839,-516
532,891,-625
-490,-652,-548
-14,30,-46

--- scanner 7 ---
-562,727,592
-779,-293,-554
461,441,611
776,-714,465
804,-743,427
426,-660,-479
-460,832,-632
438,927,-485
506,408,393
512,466,436
-151,110,16
-682,-258,-428
-612,-393,719
-876,-211,-452
593,808,-476
-604,-575,615
-467,-485,667
822,-680,325
432,-627,-443
609,872,-547
-582,833,512
-487,807,604
-451,839,-516
-532,891,-625
490,-652,-548
14,30,-46

--- scanner 8 ---
-562,-727,592
-779,293,-554
461,-441,611
776,714,465
804,743,427
426,660,-479
-460,-832,-632
438,-927,-485
506,-408,393
512,-466,436
-151,-110,16
-682,258,-428
-612,393,719
-876,211,-452
593,-808,-476
-604,575,615
-467,485,667
822,680,325
432,627,-443
609,-872,-547
-582,-833,512
-487,-807,604
-451,-839,-516
-532,-891,-625
490,652,-548
14,-30,-46

--- scanner 9 ---
-562,-727,-592
-779,293,554
461,-441,-611
776,714,-465
804,743,-427
426,660,479
-460,-832,632
438,-927,485
506,-408,-393
512,-466,-436
-151,-110,-16
-682,258,428
-612,393,-719
-876,211,452
593,-808,476
-604,575,-615
-467,485,-667
822,680,-325
432,627,443
609,-872,547
-582,-833,-512
-487,-807,-604
-451,-839,516
-532,-891,625
490,652,548
14,-30,46

--- scanner 10 ---
-562,-592,-727
-779,554,293
461,-611,-441
776,-465,714
804,-427,743
426,479,660
-460,632,-832
438,485,-927
506,-393,-408
512,-436,-466
-151,-16,-110
-682,428,258
-612,-719,393
-876,452,211
593,476,-808
-604,-615,575
-467,-667,485
822,-325,680
432,443,627
609,547,-872
-582,-512,-833
-487,-604,-807
-451,516,-839
-532,625,-891
490,548,652
14,46,-30

--- scanner 11 ---
-727,-592,-562
293,554,-779
-441,-611,461
714,-465,776
743,-427,804
660,479,426
-832,632,-460
-927,485,438
-408,-393,506
-466,-436,512
-110,-16,-151
258,428,-682
393,-719,-612
211,452,-876
-808,476,593
575,-615,-604
485,-667,-467
680,-325,822
627,443,432
-872,547,609
-833,-512,-582
-807,-604,-487
-839,516,-451
-891,625,-532
652,548,490
-30,46,14

--- scanner 2 ---
-649,640,665
-682,-795,504
784,533,-524
644,584,-595
588,-843,648
30,6,44
674,560,763
-500,723,-460
-609,671,-379
555,-800,653
675,-892,-343
-697,-426,-610
-578,704,681
-493,664,-388
671,-858,530
667,343,800
-571,-461,-707
138,-166,112
889,563,-600
-646,-828,498
-640,759,510
630,509,768
681,-892,-333
-673,-379,-804
742,-814,-386
-577,-820,562

--- scanner 2 ---
649,-640,665
682,795,504
-784,-533,-524
-644,-584,-595
-588,843,648
-30,-6,44
-674,-560,763
500,-723,-460
609,-671,-379
-555,800,653
-675,892,-343
697,426,-610
578,-704,681
493,-664,-388
-671,858,530
-667,-343,800
571,461,-707
-138,166,112
-889,-563,-600
646,828,498
640,-759,510
-630,-509,768
-681,892,-333
673,379,-804
-742,814,-386
577,820,562

--- scanner 2 ---
649,640,-665
682,-795,-504
-784,533,524
-644,584,595
-588,-843,-648
-30,6,-44
-674,560,-763
500,723,460
609,671,379
-555,-800,-653
-675,-892,343
697,-426,610
578,704,-681
493,664,388
-671,-858,-530
-667,343,-800
571,-461,707
-138,-166,-112
-889,563,600
646,-828,-498
640,759,-510
-630,509,-768
-681,-892,333
673,-379,804
-742,-814,386
577,-820,-562

--- scanner 2 ---
-665,-640,649
-504,795,682
524,-533,-784
595,-584,-644
-648,843,-588
-44,-6,-30
-763,-560,-674
460,-723,500
379,-671,609
-653,800,-555
343,892,-675
610,426,697
-681,-704,578
388,-664,493
-530,858,-671
-800,-343,-667
707,461,571
-112,166,-138
600,-563,-889
-498,828,646
-510,-759,640
-768,-509,-630
333,892,-681
804,379,673
386,814,-742
-562,820,577

--- scanner 2 ---
-665,-649,-640
-504,-682,795
524,784,-533
595,644,-584
-648,588,843
-44,30,-6
-763,674,-560
460,-500,-723
379,-609,-671
-653,555,800
343,675,892
610,-697,426
-681,-578,-704
388,-493,-664
-530,671,858
-800,667,-343
707,-571,461
-112,138,166
600,889,-563
-498,-646,828
-510,-640,-759
-768,630,-509
333,681,892
804,-673,379
386,742,814
-562,-577,820

--- scanner 2 ---
-640,-649,665
795,-682,504
-533,784,-524
-584,644,-595
843,588,648
-6,30,44
-560,674,763
-723,-500,-460
-671,-609,-379
800,555,653
892,675,-343
426,-697,-610
-704,-578,681
-664,-493,-388
858,671,530
-343,667,800
461,-571,-707
166,138,112
-563,889,-600
828,-646,498
-759,-640,510
-509,630,768
892,681,-333
379,-673,-804
814,742,-386
820,-577,562

--- scanner 2 ---
649,-640,665
682,795,504
-784,-533,-524
-644,-584,-595
-588,843,648
-30,-6,44
-674,-560,763
500,-723,-460
609,-671,-379
-555,800,653
-675,892,-343
697,426,-610
578,-704,681
493,-664,-388
-671,858,530
-667,-343,800
571,461,-707
-138,166,112
-889,-563,-600
646,828,498
640,-759,510
-630,-509,768
-681,892,-333
